State,County,Democratic,Republican,Party
NV,eureka,0,8892,0
TX,zavala,0,0,NaN
VA,king george,16337,22287,0
OH,hamilton,455950,270559,1
TX,austin,9058,12266,0
MI,barry,24111,27201,0
NM,valencia,30030,27975,1
TX,ellis,80381,61438,1
NJ,mercer,215377,137440,1
PA,cambria,70483,54182,1
IN,switzerland,0,3395,0
NV,lander,0,18381,0
NE,cherry,0,7630,0
VA,radford city,0,14068,0
FL,lee,382011,232301,1
MI,arenac,0,6552,0
TX,shackelford,0,2195,0
NJ,gloucester,162213,117113,1
OH,trumbull,106928,73867,1
OH,lawrence,21973,27530,0
ND,burke,0,5663,0
TX,hardeman,0,0,NaN
NE,keya paha,0,0,NaN
VA,norton city,0,10545,0
ND,bowman,0,5425,0
UT,duchesne,0,14929,0
MN,carlton,13013,19339,0
FL,okaloosa,106963,76365,1
TX,oldham,0,225,0
MT,lewis and clark,41068,36006,1
NY,rockland,184957,128392,1
TX,waller,12496,13799,0
VA,falls church city,42535,43962,0
PA,potter,0,4646,0
MI,gratiot,9946,17069,0
MI,shiawassee,26780,31568,0
MN,polk,10106,18047,0
ND,billings,0,7538,0
ND,mckenzie,0,12033,0
WY,weston,0,10232,0
MT,jefferson,10047,12382,0
VT,bennington,23096,20386,1
FL,clay,106514,79208,1
AZ,yuma,96540,70552,1
TX,terrell,0,0,NaN
MA,bristol,307145,196929,1
WV,webster,0,1776,0
TX,collingsworth,0,0,NaN
NY,chautauqua,65363,49936,1
TN,fayette,20837,13434,1
TX,bandera,11078,7870,1
NJ,union,311297,192169,1
TX,sherman,0,0,NaN
NY,seneca,11755,17089,0
TX,martin,0,480,0
UT,tooele,19639,36887,0
MD,talbot,29186,21800,1
FL,highlands,49921,38053,1
IN,gibson,6384,16759,0
MD,allegany,31794,32238,0
MI,mecosta,11988,20735,0
TX,jasper,6455,11505,0
DE,new castle,313688,191983,1
VA,warren,13159,24911,0
OH,ashtabula,42544,37865,1
WV,ohio,23953,22952,1
NM,bernalillo,376932,225966,1
FL,calhoun,0,3985,0
NM,torrance,0,0,NaN
UT,box elder,14986,28744,0
FL,columbia,28660,24595,1
TX,edwards,0,0,NaN
MI,iron,2518,4853,0
IN,bartholomew,41569,37304,1
MT,treasure,0,0,NaN
FL,liberty,0,0,NaN
WV,brooke,6389,14590,0
TX,ward,0,7164,0
WA,skamania,2080,7864,0
VA,caroline,10822,8770,1
VA,floyd,1568,6770,0
MI,dickinson,10554,18101,0
