,State,County,Democratic,Republican,FIPS,Total Population,Citizen Voting-Age Population,"Percent White, not Hispanic or Latino","Percent Black, not Hispanic or Latino",Percent Hispanic or Latino,Percent Foreign Born,Percent Female,Percent Age 29 and Under,Percent Age 65 and Older,Median Household Income,Percent Unemployed,Percent Less than High School Degree,Percent Less than Bachelor's Degree,Percent Rural,Party,Percent Age between 30 and 64 inclusive,Percent Male,Percent more than High School Degree,Percent more than Bachelor's Degree,Citizen Voting-Age Population voted
0,AZ,apache,16298.0,7810.0,4001,72346,,18.57186299,0.486550742,5.947806375,1.719514555,50.5985127,45.85464297,13.32209106,32460,15.80743337,21.75825183,88.94106329,74.06107553,Demo,40.82326597,49.4014873,78.24174817,11.058936709999998,24108.0
1,AZ,cochise,17383.0,26929.0,4003,128177,92915.0,56.29949211,3.714394938,34.40320806,11.45837397,49.06964588,37.90227576,19.75627453,45383,8.567107588999999,13.40917082,76.83705527,36.30106741,Rep,42.34144971,50.93035412,86.59082918,23.162944730000007,44312.0
2,AZ,coconino,34240.0,19249.0,4005,138064,104265.0,54.61959671,1.3428554869999998,13.71103256,4.825298412,50.58161432,48.94614092,10.87394252,51106,8.238304813,11.08538134,65.79143946,31.46606557,Demo,40.17991656,49.41838568,88.91461866,34.20856053999999,53489.0
3,AZ,gila,7643.0,12180.0,4007,53179,,63.22232460000001,0.552849809,18.54867523,4.2497978530000005,50.29616954,32.23828955,26.39763817,40593,12.12993221,15.72995824,82.26262417,41.06199974,Rep,41.36407228000001,49.70383046,84.27004176,17.737375830000005,19823.0
4,AZ,graham,3368.0,6870.0,4009,37529,,51.46153641,1.811932106,32.09784433,4.385941539,46.31351755,46.39345573,12.31580911,47422,14.42410428,14.58079666,86.67594364,46.43739925,Rep,41.29073516,53.68648245,85.41920334,13.32405636,10238.0
5,AZ,la paz,1609.0,3265.0,4012,20304,15245.0,58.88494878,0.379235619,26.1820331,11.37214342,48.94602049,28.07328605,36.05693459,36321,10.59901339,24.84221485,89.56340686,56.32778564,Rep,35.869779359999995,51.05397951,75.15778515,10.43659314,4874.0
6,AZ,maricopa,732671.0,672505.0,4013,4088549,2723565.0,56.91811447,5.013612408999999,30.28683281,14.72933307,50.549278,41.88662041,13.83784321,55676,6.808454052,13.05192691,69.03113669,2.363799695,Demo,44.27553638,49.450722,86.94807309,30.968863310000003,1405176.0
7,AZ,mohave,19214.0,50209.0,4015,203629,,78.25260646,0.951730844,15.70846982,6.969046649,49.67661777,30.48583453,26.8586498,39856,11.68095288,16.14585048,88.12117781,22.96364381,Rep,42.65551567,50.32338223,83.85414951999999,11.878822189999994,69423.0
8,AZ,navajo,16624.0,18767.0,4017,108209,76280.0,41.92719644,0.672772135,11.04991267,2.914729828,49.8461311,43.24316831,15.74545555,36868,18.525791100000006,18.49408653,85.50797032,54.13824233,Rep,41.011376139999996,50.1538689,81.50591347,14.492029680000002,35391.0
9,AZ,pima,221242.0,160550.0,4019,1003338,,53.27157947,3.199719337,36.10597824,12.90342836,50.80740488,40.0873883,17.80177767,46764,9.214113975,12.25223757,69.19939114,7.523491145,Demo,42.11083403,49.19259512,87.74776243,30.800608859999997,381792.0
